,Year,Rank,Title,Artist
541,2011,48,You Make Me Feel...,Cobra Starship Featuring Sabi
542,2011,49,Yeah 3X,Chris Brown
543,2011,50,Moment 4 Life,Nicki Minaj Featuring Drake
544,2011,51,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey
545,2011,52,Just A Dream,Nelly
546,2011,53,Motivation,Kelly Rowland Featuring Lil Wayne
547,2011,54,Stereo Love,Edward Maya & Vika Jigulina
548,2011,55,Jar Of Hearts,Christina Perri
549,2011,56,Roll Up,Wiz Khalifa
550,2011,57,Sexy And I Know It,LMFAO
551,2011,58,Rocketeer,Far*East Movement Featuring Ryan Tedder
552,2011,59,All Of The Lights,Kanye West
553,2011,60,Hold It Against Me,Britney Spears
554,2011,61,More,Usher
555,2011,62,What The Hell,Avril Lavigne
556,2011,63,Written In The Stars,Tinie Tempah Featuring Eric Turner
557,2011,64,Bottoms Up,Trey Songz Featuring Nicki Minaj
558,2011,65,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
559,2011,66,For The First Time,The Script
560,2011,67,Honey Bee,Blake Shelton
561,2011,68,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson
562,2011,69,We Found Love,Rihanna Featuring Calvin Harris
563,2011,70,Pretty Girl Rock,Keri Hilson
564,2011,71,You And I,Lady Gaga
565,2011,72,Like A G6,Far*East Movement Featuring Cataracs & Dev
566,2011,73,Without You,David Guetta Featuring Usher
567,2011,74,Back To December,Taylor Swift
568,2011,75,Teenage Dream,Katy Perry
569,2011,76,Crazy Girl,Eli Young Band
570,2011,77,Cheers (Drink To That),Rihanna
571,2011,78,Who Says,Selena Gomez & The Scene
572,2011,79,Barefoot Blue Jean Night,Jake Owen
573,2011,80,Knee Deep,Zac Brown Band Featuring Jimmy Buffett
574,2011,81,Country Girl (Shake It For Me),Luke Bryan
575,2011,82,Remind Me,Brad Paisley Duet With Carrie Underwood
576,2011,83,In The Dark,Dev
577,2011,84,Backseat,New Boyz Featuring The Cataracs & Dev
578,2011,85,Headlines,Drake
579,2011,86,Best Thing I Never Had,Beyonce
580,2011,87,Don't Wanna Go Home,Jason Derulo
581,2011,88,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj
582,2011,89,She Ain't You,Chris Brown
583,2011,90,Take A Back Road,Rodney Atkins
584,2011,91,Please Don't Go,Mike Posner
585,2011,92,Sure Thing,Miguel
586,2011,93,Price Tag,Jessie J Featuring B.o.B
587,2011,94,God Gave Me You,Blake Shelton
588,2011,95,She Will,Lil Wayne Featuring Drake
589,2011,96,Are You Gonna Kiss Me Or Not,Thompson Square
590,2011,97,Animal,Neon Trees
591,2011,98,You And Tequila,Kenny Chesney Featuring Grace Potter
592,2011,99,Colder Weather,Zac Brown Band
593,2011,100,My Last,Big Sean Featuring Chris Brown
594,2012,1,Somebody That I Used To Know,Gotye Featuring Kimbra
595,2012,2,Call Me Maybe,Carly Rae Jepsen
596,2012,3,We Are Young,fun. Featuring Janelle Monae
597,2012,4,Payphone,Maroon 5 Featuring Wiz Khalifa
598,2012,5,Lights,Ellie Goulding
599,2012,6,Glad You Came,The Wanted
600,2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson
601,2012,8,We Found Love,Rihanna Featuring Calvin Harris
602,2012,9,Starships,Nicki Minaj
603,2012,10,What Makes You Beautiful,One Direction
604,2012,11,Wild Ones,Flo Rida Featuring Sia
605,2012,12,Set Fire To The Rain,Adele
606,2012,13,Sexy And I Know It,LMFAO
607,2012,14,Some Nights,fun.
608,2012,15,Wide Awake,Katy Perry
609,2012,16,Good Feeling,Flo Rida
610,2012,17,Whistle,Flo Rida
611,2012,18,One More Night,Maroon 5
612,2012,19,Drive By,Train
613,2012,20,The Motto,Drake Featuring Lil Wayne
614,2012,21,Where Have You Been,Rihanna
615,2012,22,Everybody Talks,Neon Trees
616,2012,23,Take Care,Drake Featuring Rihanna
617,2012,24,Titanium,David Guetta Featuring Sia
618,2012,25,I Won't Give Up,Jason Mraz
619,2012,26,It Will Rain,Bruno Mars
620,2012,27,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz"
621,2012,28,Boyfriend,Justin Bieber
622,2012,29,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
623,2012,30,Too Close,Alex Clare
624,2012,31,Part Of Me,Katy Perry
625,2012,32,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
626,2012,33,We Are Never Ever Getting Back Together,Taylor Swift
627,2012,34,As Long As You Love Me,Justin Bieber Featuring Big Sean
628,2012,35,Turn Me On,David Guetta Featuring Nicki Minaj
629,2012,36,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
630,2012,37,Blow Me (One Last Kiss),P!nk
631,2012,38,Good Time,Owl City & Carly Rae Jepsen
632,2012,39,Give Your Heart A Break,Demi Lovato
633,2012,40,Ni**as in Paris,Jay Z Kanye West
634,2012,41,The One That Got Away,Katy Perry
635,2012,42,Feel So Close,Calvin Harris
636,2012,43,Someone Like You,Adele
637,2012,44,Scream,Usher
638,2012,45,Rack City,Tyga
639,2012,46,Domino,Jessie J
640,2012,47,Gangnam Style,PSY
641,2012,48,International Love,Pitbull Featuring Chris Brown
642,2012,49,Home,Phillip Phillips
643,2012,50,Without You,David Guetta Featuring Usher
644,2012,51,Ass Back Home,Gym Class Heroes Featuring Neon Hitch
645,2012,52,Wanted,Hunter Hayes
646,2012,53,Drunk On You,Luke Bryan
647,2012,54,No Lie,2 Chainz Featuring Drake
648,2012,55,Want U Back,Cher Lloyd
649,2012,56,Don't Wake Me Up,Chris Brown
650,2012,57,Dance (A$$),Big Sean Featuring Nicki Minaj
651,2012,58,Springsteen,Eric Church
652,2012,59,Brokenhearted,Karmin
653,2012,60,Not Over You,Gavin DeGraw
654,2012,61,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
655,2012,62,Back In Time,Pitbull
656,2012,63,Work Out,J. Cole
657,2012,64,Rumour Has It,Adele
658,2012,65,Let's Go,Calvin Harris Featuring Ne-Yo
659,2012,66,Good Girl,Carrie Underwood
660,2012,67,Pontoon,Little Big Town
661,2012,68,Ho Hey,The Lumineers
662,2012,69,Paradise,Coldplay
663,2012,70,Blown Away,Carrie Underwood
664,2012,71,Rolling In The Deep,Adele
665,2012,72,Climax,Usher
666,2012,73,"Work Hard, Play Hard",Wiz Khalifa
667,2012,74,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
668,2012,75,Pound The Alarm,Nicki Minaj
669,2012,76,Come Over,Kenny Chesney
670,2012,77,Heart Attack,Trey Songz
671,2012,78,Drank In My Cup,Kirko Bangz
672,2012,79,Birthday Cake,Rihanna Featuring Chris Brown
673,2012,80,So Good,B.o.B
674,2012,81,50 Ways To Say Goodbye,Train
675,2012,82,Red Solo Cup,Toby Keith
676,2012,83,Love You Like A Love Song,Selena Gomez & The Scene
677,2012,84,Turn Up The Music,Chris Brown
678,2012,85,Die Young,Ke$ha
679,2012,86,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen
680,2012,87,A Thousand Years,Christina Perri
681,2012,88,Take A Little Ride,Jason Aldean
682,2012,89,You Da One,Rihanna
683,2012,90,We Run The Night,Havana Brown Featuring Pitbull
684,2012,91,It's Time,Imagine Dragons
685,2012,92,Cashin' Out,Ca$h Out
686,2012,93,I Don't Want This Night To End,Luke Bryan
687,2012,94,Diamonds,Rihanna
688,2012,95,Hard To Love,Lee Brice
689,2012,96,Somethin' 'Bout A Truck,Kip Moore
690,2012,97,Adorn,Miguel
691,2012,98,Fly Over States,Jason Aldean
692,2012,99,Even If It Breaks Your Heart,Eli Young Band
693,2013,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
694,2013,2,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
695,2013,3,Radioactive,Imagine Dragons
696,2013,4,Harlem Shake,Baauer
697,2013,5,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
698,2013,6,Mirrors,Justin Timberlake
699,2013,7,Just Give Me A Reason,P!nk Featuring Nate Ruess
700,2013,8,When I Was Your Man,Bruno Mars
701,2013,9,Cruise,Florida Georgia Line Featuring Nelly
702,2013,10,Roar,Katy Perry
703,2013,11,Locked Out Of Heaven,Bruno Mars
704,2013,12,Ho Hey,The Lumineers
705,2013,13,Stay,Rihanna Featuring Mikky Ekko
706,2013,14,Get Lucky,Daft Punk Featuring Pharrell Williams
707,2013,15,Royals,Lorde
708,2013,16,I Knew You Were Trouble.,Taylor Swift
709,2013,17,We Can't Stop,Miley Cyrus
710,2013,18,Wrecking Ball,Miley Cyrus
711,2013,19,Wake Me Up!,Avicii
712,2013,20,Suit & Tie,Justin Timberlake Featuring JAY Z
713,2013,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
714,2013,22,Holy Grail,Jay Z Featuring Justin Timberlake
715,2013,23,Scream & Shout,will.i.am & Britney Spears
716,2013,24,Clarity,Zedd Featuring Foxes
717,2013,25,Sail,AWOLNATION
718,2013,26,Don't You Worry Child,Swedish House Mafia Featuring John Martin
719,2013,27,Diamonds,Rihanna
720,2013,28,I Love It,Icona Pop Featuring Charli XCX
721,2013,29,Safe And Sound,Capital Cities
722,2013,30,Treasure,Bruno Mars
723,2013,31,The Way,Ariana Grande Featuring Mac Miller
724,2013,32,Started From The Bottom,Drake
725,2013,33,Come & Get It,Selena Gomez
726,2013,34,"Hold On, We're Going Home",Drake Featuring Majid Jordan
727,2013,35,Daylight,Maroon 5
728,2013,36,Feel This Moment,Pitbull Featuring Christina Aguilera
729,2013,37,Applause,Lady Gaga
730,2013,38,One More Night,Maroon 5
731,2013,39,Love Me,Lil Wayne Featuring Drake & Future
732,2013,40,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
733,2013,41,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
734,2013,42,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj
735,2013,43,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert
736,2013,44,Sweet Nothing,Calvin Harris Featuring Florence Welch
737,2013,45,Summertime Sadness,Lana Del Rey vs. Cedric Gervais
738,2013,46,Home,Phillip Phillips
739,2013,47,It's Time,Imagine Dragons
740,2013,48,Power Trip,J. Cole Featuring Miguel
741,2013,49,Girl On Fire,Alicia Keys Featuring Nicki Minaj
742,2013,50,Heart Attack,Demi Lovato
743,2013,51,Love Somebody,Maroon 5
744,2013,52,I Will Wait,Mumford & Sons
745,2013,53,Try,P!nk
746,2013,54,Wagon Wheel,Darius Rucker
747,2013,55,Gangnam Style,PSY
748,2013,56,I Need Your Love,Calvin Harris Featuring Ellie Goulding
749,2013,57,Die Young,Ke$ha
750,2013,58,Some Nights,fun.
751,2013,59,Bad,Wale Featuring Tiara Thomas Or Rihanna
752,2013,60,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends
753,2013,61,"Gone, Gone, Gone",Phillip Phillips
754,2013,62,Demons,Imagine Dragons
755,2013,63,Counting Stars,OneRepublic
756,2013,64,I Cry,Flo Rida
757,2013,65,Little Talks,Of Monsters And Men
758,2013,66,The Other Side,Jason Derulo
759,2013,67,Berzerk,Eminem
760,2013,68,Catch My Breath,Kelly Clarkson
761,2013,69,Crash My Party,Luke Bryan
762,2013,70,Pour It Up,Rihanna
763,2013,71,22,Taylor Swift
764,2013,72,I Want Crazy,Hunter Hayes
765,2013,73,The Fox,Ylvis
766,2013,74,Best Song Ever,One Direction
767,2013,75,The A Team,Ed Sheeran
768,2013,76,Carry On,fun.
769,2013,77,Highway Don't Care,Tim McGraw With Taylor Swift
770,2013,78,That's My Kind Of Night,Luke Bryan
771,2013,79,Swimming Pools (Drank),Kendrick Lamar
772,2013,80,Sure Be Cool If You Did,Blake Shelton
773,2013,81,#Beautiful,Mariah Carey Featuring Miguel
774,2013,82,Troublemaker,Olly Murs Featuring Flo Rida
775,2013,83,Body Party,Ciara
776,2013,84,Adorn,Miguel
777,2013,85,Hall Of Fame,The Script Featuring will.i.am
778,2013,86,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
779,2013,87,U.O.E.N.O.,Rocko Featuring Future & Rick Ross
780,2013,88,Next To Me,Emeli Sande
781,2013,89,Mama's Broken Heart,Miranda Lambert
782,2013,90,It Goes Like This,Thomas Rhett
783,2013,91,Bugatti,Ace Hood Featuring Future & Rick Ross
784,2013,92,Wanted,Hunter Hayes
785,2013,93,Downtown,Lady Antebellum
786,2013,94,Get Your Shine On,Florida Georgia Line
787,2013,95,#thatPOWER,will.i.am Featuring Justin Bieber
788,2013,96,Brave,Sara Bareilles
789,2013,97,Let Her Go,Passenger
790,2013,98,Runnin' Outta Moonlight,Randy Houser
791,2013,99,I'm Different,2 Chainz
792,2014,1,Happy,Pharrell Williams
793,2014,2,Dark Horse,Katy Perry Featuring Juicy J
794,2014,3,All Of Me,John Legend
795,2014,4,Fancy,Iggy Azalea Featuring Charli XCX
796,2014,5,Counting Stars,OneRepublic
797,2014,6,Talk Dirty,Jason Derulo Featuring 2 Chainz
798,2014,7,Rude,MAGIC!
799,2014,8,All About That Bass,Meghan Trainor
800,2014,9,Problem,Ariana Grande Featuring Iggy Azalea
801,2014,10,Stay With Me,Sam Smith
802,2014,11,Timber,Pitbull Featuring Ke$ha
803,2014,12,Pompeii,Bastille
804,2014,13,Shake It Off,Taylor Swift
805,2014,14,Am I Wrong,Nico & Vinz
806,2014,15,Turn Down For What,DJ Snake & Lil Jon
807,2014,16,The Monster,Eminem Featuring Rihanna
808,2014,17,Say Something,A Great Big World & Christina Aguilera
809,2014,18,Team,Lorde
810,2014,19,Let Her Go,Passenger
811,2014,20,Royals,Lorde
812,2014,21,Let It Go,Idina Menzel
813,2014,22,Wake Me Up!,Avicii
814,2014,23,Demons,Imagine Dragons
815,2014,24,Story Of My Life,One Direction
816,2014,25,Chandelier,Sia
817,2014,26,Black Widow,Iggy Azalea Featuring Rita Ora
818,2014,27,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
819,2014,28,Latch,Disclosure Featuring Sam Smith
820,2014,29,Maps,Maroon 5
821,2014,30,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
822,2014,31,Best Day Of My Life,American Authors
823,2014,32,Habits (Stay High),Tove Lo
824,2014,33,Summer,Calvin Harris
825,2014,34,Boom Clap,Charli XCX
826,2014,35,Drunk In Love,Beyonce Featuring Jay Z
827,2014,36,Anaconda,Nicki Minaj
828,2014,37,Break Free,Ariana Grande Featuring Zedd
829,2014,38,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
830,2014,39,Burn,Ellie Goulding
831,2014,40,Wiggle,Jason Derulo Featuring Snoop Dogg
832,2014,41,Rather Be,Clean Bandit Featuring Jess Glynne
833,2014,42,Don't Tell 'Em,Jeremih Featuring YG
834,2014,43,Show Me,Kid Ink Featuring Chris Brown
835,2014,44,Wrecking Ball,Miley Cyrus
836,2014,45,Not A Bad Thing,Justin Timberlake
837,2014,46,Roar,Katy Perry
838,2014,47,Ain't It Fun,Paramore
839,2014,48,The Man,Aloe Blacc
840,2014,49,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan
841,2014,50,Classic,MKTO
842,2014,51,A Sky Full Of Stars,Coldplay
843,2014,52,Don't,Ed Sheeran
844,2014,53,Na Na,Trey Songz
845,2014,54,Hot Boy,Bobby Shmurda
846,2014,55,"Hold On, We're Going Home",Drake Featuring Majid Jordan
847,2014,56,Sing,Ed Sheeran
848,2014,57,Radioactive,Imagine Dragons
849,2014,58,My Hitta,YG Featuring Jeezy & Rich Homie Quan
850,2014,59,Cool Kids,Echosmith
851,2014,60,Hey Brother,Avicii
852,2014,61,Trumpets,Jason Derulo
853,2014,62,Animals,Maroon 5
854,2014,63,Burnin' It Down,Jason Aldean
855,2014,64,Play It Again,Luke Bryan
856,2014,65,2 On,Tinashe Featuring ScHoolboy Q
857,2014,66,Dirt,Florida Georgia Line
858,2014,67,Love Runs Out,OneRepublic
859,2014,68,Bottoms Up,Brantley Gilbert
860,2014,69,Shower,Becky G
861,2014,70,Me And My Broken Heart,Rixton
862,2014,71,Animals,Martin Garrix
863,2014,72,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan
864,2014,73,American Kids,Kenny Chesney
865,2014,74,Brave,Sara Bareilles
866,2014,75,Sweater Weather,The Neighbourhood
867,2014,76,Leave The Night On,Sam Hunt
868,2014,77,New Flame,Chris Brown Featuring Usher & Rick Ross
869,2014,78,Love Never Felt So Good,Michael Jackson & Justin Timberlake
870,2014,79,Drunk On A Plane,Dierks Bentley
871,2014,80,Birthday,Katy Perry
872,2014,81,Bartender,Lady Antebellum
873,2014,82,La La La,Naughty Boy Featuring Sam Smith
874,2014,83,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
875,2014,84,Do What U Want,Lady Gaga Featuring R. Kelly
876,2014,85,Can't Remember To Forget You,Shakira Featuring Rihanna
877,2014,86,Amnesia,5 Seconds Of Summer
878,2014,87,No Mediocre,T.I. Featuring Iggy Azalea
879,2014,88,Come With Me Now,KONGOS
880,2014,89,Believe Me,Lil Wayne Featuring Drake
881,2014,90,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J"
882,2014,91,Beachin',Jake Owen
883,2014,92,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
884,2014,93,She Looks So Perfect,5 Seconds Of Summer
885,2014,94,Stay The Night,Zedd Featuring Hayley Williams
886,2014,95,Partition,Beyonce
887,2014,96,Studio,ScHoolboy Q Featuring BJ The Chicago Kid
888,2014,97,0 To 100 / The Catch Up,Drake
889,2014,98,I Don't Dance,Lee Brice
890,2014,99,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood
891,2015,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars
892,2015,2,Thinking Out Loud,Ed Sheeran
893,2015,3,See You Again,Wiz Khalifa Featuring Charlie Puth
894,2015,4,Trap Queen,Fetty Wap
895,2015,5,Sugar,Maroon 5
896,2015,6,Shut Up And Dance,WALK THE MOON
897,2015,7,Blank Space,Taylor Swift
898,2015,8,Watch Me,Silento
899,2015,9,Earned It (Fifty Shades Of Grey),The Weeknd
900,2015,10,The Hills,The Weeknd
901,2015,11,Cheerleader,OMI
902,2015,12,Can't Feel My Face,The Weeknd
903,2015,13,Love Me Like You Do,Ellie Goulding
904,2015,14,Take Me To Church,Hozier
905,2015,15,Bad Blood,Taylor Swift Featuring Kendrick Lamar
906,2015,16,Lean On,Major Lazer X DJ Snake Featuring MO
907,2015,17,Want To Want Me,Jason Derulo
908,2015,18,Shake It Off,Taylor Swift
909,2015,19,Where Are U Now,Skrillex & Diplo With Justin Bieber
910,2015,20,Fight Song,Rachel Platten
911,2015,21,679,Fetty Wap Featuring Remy Boyz
912,2015,22,Lips Are Movin,Meghan Trainor
913,2015,23,Worth It,Fifth Harmony Featuring Kid Ink
914,2015,24,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
915,2015,25,"Honey, I'm Good.",Andy Grammer
916,2015,26,I'm Not The Only One,Sam Smith
917,2015,27,Good For You,Selena Gomez Featuring A$AP Rocky
918,2015,28,All About That Bass,Meghan Trainor
919,2015,29,Style,Taylor Swift
920,2015,30,Hotline Bling,Drake
921,2015,31,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
922,2015,32,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
923,2015,33,What Do You Mean?,Justin Bieber
924,2015,34,Photograph,Ed Sheeran
925,2015,35,Hello,Adele
926,2015,36,Stitches,Shawn Mendes
927,2015,37,Talking Body,Tove Lo
928,2015,38,Jealous,Nick Jonas
929,2015,39,Time Of Our Lives,Pitbull & Ne-Yo
930,2015,40,Locked Away,R. City Featuring Adam Levine
931,2015,41,Somebody,Natalie La Rose Featuring Jeremih
932,2015,42,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney
933,2015,43,Centuries,Fall Out Boy
934,2015,44,My Way,Fetty Wap Featuring Monty
935,2015,45,Take Your Time,Sam Hunt
936,2015,46,Animals,Maroon 5
937,2015,47,I Don't F**k With You,Big Sean Featuring E-40
938,2015,48,B**** Better Have My Money,Rihanna
939,2015,49,Flex (Ooh Ooh Ooh),Rich Homie Quan
940,2015,50,Nasty Freestyle,T-Wayne
941,2015,51,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown"
942,2015,52,Elastic Heart,Sia
943,2015,53,Cool For The Summer,Demi Lovato
944,2015,54,Renegades,X Ambassadors
945,2015,55,I Don't Mind,Usher Featuring Juicy J
946,2015,56,Love Me Harder,Ariana Grande & The Weeknd
947,2015,57,Wildest Dreams,Taylor Swift
948,2015,58,Stay With Me,Sam Smith
949,2015,59,You Know You Like It,DJ Snake & AlunaGeorge
950,2015,60,Uma Thurman,Fall Out Boy
951,2015,61,7/11,Beyonce
952,2015,62,The Heart Wants What It Wants,Selena Gomez
953,2015,63,Girl Crush,Little Big Town
954,2015,64,Slow Motion,Trey Songz
955,2015,65,Drag Me Down,One Direction
956,2015,66,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne
957,2015,67,One Last Time,Ariana Grande
958,2015,68,Chains,Nick Jonas
959,2015,69,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
960,2015,70,No Type,Rae Sremmurd
961,2015,71,Riptide,Vance Joy
962,2015,72,Classic Man,Jidenna Featuring Roman GianArthur
963,2015,73,Ex's & Oh's,Elle King
964,2015,74,Dear Future Husband,Meghan Trainor
965,2015,75,Marvin Gaye,Charlie Puth Featuring Meghan Trainor
966,2015,76,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
967,2015,77,Habits (Stay High),Tove Lo
968,2015,78,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence
969,2015,79,CoCo,O.T. Genasis
970,2015,80,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
971,2015,81,Lay Me Down,Sam Smith
972,2015,82,Tuesday,I LOVE MAKONNEN Featuring Drake
973,2015,83,Hit The Quan,iLoveMemphis
974,2015,84,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz"
975,2015,85,House Party,Sam Hunt
976,2015,86,Ayo,Chris Brown & Tyga
977,2015,87,Kick The Dust Up,Luke Bryan
978,2015,88,Blessings,Big Sean Featuring Drake
979,2015,89,Budapest,George Ezra
980,2015,90,Chandelier,Sia
981,2015,91,Heartbeat Song,Kelly Clarkson
982,2015,92,Don't,Ed Sheeran
983,2015,93,Ghost,Ella Henderson
984,2015,94,Here,Alessia Cara
985,2015,95,Waves,Mr. Probz
986,2015,96,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
987,2015,97,She Knows,Ne-Yo Featuring Juicy J
988,2015,98,Night Changes,One Direction
989,2015,99,Back To Back,Drake
990,2016,1,Love Yourself,Justin Bieber
991,2016,2,Sorry,Justin Bieber
992,2016,3,One Dance,Drake Featuring WizKid & Kyla
993,2016,4,Work,Rihanna Featuring Drake
994,2016,5,Stressed Out,twenty one pilots
995,2016,6,Panda,Desiigner
996,2016,7,Hello,Adele
997,2016,8,Don't Let Me Down,The Chainsmokers Featuring Daya
998,2016,9,Can't Stop The Feeling!,Justin Timberlake
999,2016,10,Closer,The Chainsmokers Featuring Halsey
1000,2016,11,Cheap Thrills,Sia Featuring Sean Paul
1001,2016,12,7 Years,Lukas Graham
1002,2016,13,Needed Me,Rihanna
1003,2016,14,My House,Flo Rida
1004,2016,15,I Took A Pill In Ibiza,Mike Posner
1005,2016,16,Work From Home,Fifth Harmony Featuring Ty Dolla $ign
1006,2016,17,This Is What You Came For,Calvin Harris Featuring Rihanna
1007,2016,18,Cake By The Ocean,DNCE
1008,2016,19,"Me, Myself & I",G-Eazy x Bebe Rexha
1009,2016,20,Ride,twenty one pilots
1010,2016,21,Heathens,twenty one pilots
1011,2016,22,Pillowtalk,Zayn
1012,2016,23,Stitches,Shawn Mendes
1013,2016,24,Hotline Bling,Drake
1014,2016,25,Cold Water,Major Lazer Featuring Justin Bieber & MO
1015,2016,26,Send My Love (To Your New Lover),Adele
1016,2016,27,Roses,The Chainsmokers Featuring Rozes
1017,2016,28,Treat You Better,Shawn Mendes
1018,2016,29,Too Good,Drake Featuring Rihanna
1019,2016,30,Low Life,Future Featuring The Weeknd
1020,2016,31,What Do You Mean?,Justin Bieber
1021,2016,32,The Hills,The Weeknd
1022,2016,33,Just Like Fire,P!nk
1023,2016,34,Broccoli,D.R.A.M. Featuring Lil Yachty
1024,2016,35,Don't,Bryson Tiller
1025,2016,36,Dangerous Woman,Ariana Grande
1026,2016,37,Jumpman,Drake & Future
1027,2016,38,I Hate U I Love U,gnash Featuring Olivia O'Brien
1028,2016,39,Here,Alessia Cara
1029,2016,40,Same Old Love,Selena Gomez
1030,2016,41,Controlla,Drake
1031,2016,42,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
1032,2016,43,One Call Away,Charlie Puth
1033,2016,44,Let It Go,James Bay
1034,2016,45,No,Meghan Trainor
1035,2016,46,Never Forget You,Zara Larsson & MNEK
1036,2016,47,Let Me Love You,DJ Snake Featuring Justin Bieber
1037,2016,48,Don't Mind,Kent Jones
1038,2016,49,H.O.L.Y.,Florida Georgia Line
1039,2016,50,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez
1040,2016,51,Into You,Ariana Grande
1041,2016,52,Gold,Kiiara
1042,2016,53,Exchange,Bryson Tiller
1043,2016,54,679,Fetty Wap Featuring Remy Boyz
1044,2016,55,Oui,Jeremih
1045,2016,56,Hands To Myself,Selena Gomez
1046,2016,57,2 Phones,Kevin Gates
1047,2016,58,Starboy,The Weeknd Featuring Daft Punk
1048,2016,59,For Free,DJ Khaled Featuring Drake
1049,2016,60,Never Be Like You,Flume Featuring Kai
1050,2016,61,In The Night,The Weeknd
1051,2016,62,Me Too,Meghan Trainor
1052,2016,63,Ex's & Oh's,Elle King
1053,2016,64,Die A Happy Man,Thomas Rhett
1054,2016,65,White Iverson,Post Malone
1055,2016,66,Close,Nick Jonas Featuring Tove Lo
1056,2016,67,Unsteady,X Ambassadors
1057,2016,68,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors"
1058,2016,69,Down In The DM,Yo Gotti Featuring Nicki Minaj
1059,2016,70,Luv,Tory Lanez
1060,2016,71,Sorry,Beyonce
1061,2016,72,Can't Feel My Face,The Weeknd
1062,2016,73,Hymn For The Weekend,Coldplay
1063,2016,74,Say It,Tory Lanez
1064,2016,75,Antidote,Travis Scott
1065,2016,76,Lost Boy,Ruth B
1066,2016,77,Side To Side,Ariana Grande Featuring Nicki Minaj
1067,2016,78,"Sit Still, Look Pretty",Daya
1068,2016,79,Wildest Dreams,Taylor Swift
1069,2016,80,Middle,DJ Snake Featuring Bipolar Sunshine
1070,2016,81,On My Mind,Ellie Goulding
1071,2016,82,Pop Style,Drake Featuring The Throne
1072,2016,83,When We Were Young,Adele
1073,2016,84,Hide Away,Daya
1074,2016,85,Lean On,Major Lazer X DJ Snake Featuring MO
1075,2016,86,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello
1076,2016,88,Watch Me,Silento
1077,2016,89,Back To Sleep,Chris Brown
1078,2016,90,No Limit,Usher Featuring Young Thug
1079,2016,91,Cut It,O.T. Genasis Featuring Young Dolph
1080,2016,92,Really Really,Kevin Gates
1081,2016,93,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap
1082,2016,94,Starving,Hailee Steinfeld & Grey Featuring Zedd
1083,2016,95,Adventure Of A Lifetime,Coldplay
1084,2016,96,Humble And Kind,Tim McGraw
